LOCAL,DATA,VALOR
136,20240501 00:00:00,753
136,20240601 00:00:00,532
136,20240801 00:00:00,828
135,20241001 00:00:00,520
135,20241101 00:00:00,371
135,20241201 00:00:00,517
135,20250101 00:00:00,637
135,20230501 00:00:00,924
135,20230601 00:00:00,170
135,20230701 00:00:00,603
135,20230901 00:00:00,840.3
135,20231001 00:00:00,515
135,20231101 00:00:00,434
135,20231201 00:00:00,288
135,20240101 00:00:00,416
135,20240201 00:00:00,690
135,20240301 00:00:00,360
135,20240401 00:00:00,244
135,20240501 00:00:00,466
135,20240601 00:00:00,604
135,20240701 00:00:00,342
135,20240901 00:00:00,465
135,20241001 00:00:00,246
135,20241101 00:00:00,529
134,20241201 00:00:00,385
134,20230701 00:00:00,124
134,20230801 00:00:00,777
134,20230901 00:00:00,109.89
134,20231001 00:00:00,438
134,20231101 00:00:00,488
134,20231201 00:00:00,466
134,20240101 00:00:00,1276
134,20240201 00:00:00,332
134,20240301 00:00:00,429
134,20240401 00:00:00,337
134,20240501 00:00:00,502
134,20240601 00:00:00,354
134,20240801 00:00:00,552
134,20240901 00:00:00,406
134,20241001 00:00:00,346
134,20241101 00:00:00,371
133,20241201 00:00:00,517
133,20250101 00:00:00,425
133,20230501 00:00:00,840
133,20230601 00:00:00,260
133,20230701 00:00:00,456
133,20230901 00:00:00,588.13
133,20231001 00:00:00,515
133,20231101 00:00:00,434
133,20231201 00:00:00,288
133,20240101 00:00:00,416
133,20240201 00:00:00,460
133,20240301 00:00:00,542
133,20240401 00:00:00,244
133,20240501 00:00:00,466
133,20240601 00:00:00,604
133,20240701 00:00:00,170
133,20240801 00:00:00,578
132,20240901 00:00:00,465
132,20241001 00:00:00,491
132,20241101 00:00:00,264
132,20241201 00:00:00,0
132,20230501 00:00:00,630
132,20230601 00:00:00,90
132,20230701 00:00:00,322
132,20230901 00:00:00,729.3
132,20231001 00:00:00,257
132,20231101 00:00:00,434
132,20231201 00:00:00,144
132,20240101 00:00:00,208
132,20240201 00:00:00,690
132,20240301 00:00:00,542
132,20240401 00:00:00,733
132,20240501 00:00:00,466
132,20240601 00:00:00,604
131,20240701 00:00:00,170
131,20240801 00:00:00,578
131,20240901 00:00:00,697
131,20241001 00:00:00,246
131,20241101 00:00:00,528
131,20241201 00:00:00,0
131,20230501 00:00:00,161
131,20230601 00:00:00,170
131,20230701 00:00:00,777
131,20230901 00:00:00,461.52
131,20231001 00:00:00,515
131,20231101 00:00:00,434
131,20231201 00:00:00,288
