Unnamed: 0;PEV;Cidade;Endereço;Ponto de Referência;CidadeExtraida;Endereço2;latitude;longitude
87;PEV  88;PEV 88  PALHOÇA;Rua Trinta e um de Março, 97 ;Praça Ponte de Imarui em frente Ginásio de Esporte;PALHOÇA;PALHOÇA, Rua Trinta e um de Março, 97;-27.6313805;-48.6484025
88;PEV  89;PEV 89  PALHOÇA;Avenida Anicleto Zacchi, 147 ;Ponte do Imaruím - Ao lado do Supermercados Imperatriz;PALHOÇA;PALHOÇA, Avenida Anicleto Zacchi, 147;-27.6340034;-48.6441785
89;PEV  90;PEV 90  PALHOÇA;Av. Bom Jesus de Nazaré, 1140 - ;Bairro Aririu - Em frente Restaurante & Choperia MEGA RANGOI;PALHOÇA;PALHOÇA, Av. Bom Jesus de Nazaré, 1140 -;-27.6739301;-48.6770218
90;PEV  91;PEV 91  PALHOÇA;Rua Sebastião Alzemiro dos Santos;Em frente ao Residencial Orquídeas rotula da Av. Paulo Roberto Vidal -Caminho Novo  - Alterado em Dezembro 2023;PALHOÇA;PALHOÇA, Rua Sebastião Alzemiro dos Santos;-27.6488705;-48.7056893
91;PEV  92;PEV 92  PALHOÇA;Rua Germano Spricigo, 859 ;Em frente ao Centro de Saúde Caminho Novo - ;PALHOÇA;PALHOÇA, Rua Germano Spricigo, 859;-27.6454517;-48.68438949999999
92;PEV  93;PEV 93  PALHOÇA;Avenida das Tipuanas, 1280;São Sebastião - Ao lado do Centro de Saúde Madri;PALHOÇA;PALHOÇA, Avenida das Tipuanas, 1280;-27.6413017;-48.7035084
93;PEV  94;PEV 94  PALHOÇA;Rua dos Lagos, 265 - Aririu;Parque da Barra do Aririú - Instalado em Abril 2024;PALHOÇA;PALHOÇA, Rua dos Lagos, 265 - Aririu;-27.6718497;-48.6868867
94;PEV  95;PEV 95  PALHOÇA;Rua José Cosme Pamplona, 2346  - Bela Vista;Choperia Bar - Instalado em Abril 2024 ;PALHOÇA;PALHOÇA, Rua José Cosme Pamplona, 2346  - Bela Vista;-27.6581053;-48.6920466
95;PEV  96;PEV 96  PALHOÇA;Rua Valdemar Vieira, 1450;Jardeim Eldorado - ao lado da Capela Nossa Senhora do Rosário;PALHOÇA;PALHOÇA, Rua Valdemar Vieira, 1450;-27.6199141;-48.66553039999999
96;PEV  97;PEV 97  PALHOÇA;Av. Pedra Branca, 1022 ;Cidade Universitária Pedra Branca - Em frente da Farmácia Raia ;PALHOÇA;PALHOÇA, Av. Pedra Branca, 1022;-27.6245939;-48.6795223
97;PEV  98;PEV 98  PALHOÇA;Rua Vitor Meireles, 552 ;Praça Centro de Saúde Jardim Eldorado ;PALHOÇA;PALHOÇA, Rua Vitor Meireles, 552;-27.6265826;-48.6637869
98;PEV  99;PEV 99  PALHOÇA;Avenida Hilza Therezinha Pagani, 280;Prefeitura Municipal da Palhoça;PALHOÇA;PALHOÇA, Avenida Hilza Therezinha Pagani, 280;-27.6406832;-48.679112
99;PEV  100;PEV 100  PALHOÇA;Rua Alcino Navegantes Moreira, 4064 ;Supermercados Hiperbom - Esquina com Rua Frei Henrique de Coimbra, 1;PALHOÇA;PALHOÇA, Rua Alcino Navegantes Moreira, 4064;-27.6724774;-48.64981
100;PEV  101;PEV 101  PALHOÇA;Avenida Vidal Procópio Lohn, 1081;Em frente a Escola Básica -  Dezembro 2024 ;PALHOÇA;PALHOÇA, Avenida Vidal Procópio Lohn, 1081;-27.6637125;-48.6640038
101;PEV  102;PEV 102  PALHOÇA;Rua Sebastião Alzemiro dos Santos, 214;EEB Prof Angelo Cascaes Tancredo - Caminho Novo -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua Sebastião Alzemiro dos Santos, 214;-27.6498434;-48.7024705
102;PEV  103;PEV 103  PALHOÇA;Av. Paulo Roberto Vidal, 2494;após o Loteamento Moradas II Frente Giga Lanches, Antes da conveniência BEN BEBIDAS - Instalado em Abril 2024;PALHOÇA;PALHOÇA, Av. Paulo Roberto Vidal, 2494;-27.6469309;-48.7141622
103;PEV  104;PEV 104  PALHOÇA;Rua Tomaz Domingos da Silveira, 2915;Praça São Sebastião - LE Ponto de Ônibus -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua Tomaz Domingos da Silveira, 2915;-27.6397691;-48.7105823
104;PEV  105;PEV 105  PALHOÇA;Rua João Bernardino da Rosa, S/N - IFSC - Pedra Branca;IFSC -Unidade Pedra Branca - LE ponto de Ônibus -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua João Bernardino da Rosa, S/N - IFSC - Pedra Branca;-27.5942369;-48.5431402
105;PEV  106;PEV 106  PALHOÇA;Avenida Paulo Roberto Vidal, 1455 - Caminho Novo ;Condomínio Terra Nova  Dezembro 2024;PALHOÇA;PALHOÇA, Avenida Paulo Roberto Vidal, 1455 - Caminho Novo;-27.6527603;-48.7090586
106;PEV  107;PEV 107  PALHOÇA;Rua Nereu Ghizoni, 875 - Guarda do Cubatão;Grand Ville Residencial Clube -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua Nereu Ghizoni, 875 - Guarda do Cubatão;-27.694742;-48.6713169
107;PEV  108;PEV 108  PALHOÇA;Rua Ari Amâncio da Silveira, 718 - Praia de Fora ;Antes do Ari Bar - Praia de Fora -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua Ari Amâncio da Silveira, 718 - Praia de Fora;-27.7478825;-48.6240639
108;PEV  109;PEV 109  PALHOÇA;DEFINIR LOCAL;;PALHOÇA;PALHOÇA, DEFINIR LOCAL;-27.6312008;-48.6672423
109;PEV  110;PEV 110  PALHOÇA;Rua Arcanjo Candido da silva, 2414 - Praia de Fora;Esquina com Oscar Martinho Ribeiro, 2 - Em frente a Associação catarinense dos professores -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua Arcanjo Candido da silva, 2414 - Praia de Fora;-27.7384177;-48.6358648
110;PEV  111;PEV 111  PALHOÇA;Rua da Praia, 485;Praia de Pedras Altas -  Dezembro 2024;PALHOÇA;PALHOÇA, Rua da Praia, 485;-27.7940507;-48.6320191
111;PEV  112;PEV 112  PALHOÇA;DEFINIR LOCAL;;PALHOÇA;PALHOÇA, DEFINIR LOCAL;-27.6312008;-48.6672423
112;PEV  113;PEV 113  PALHOÇA;Rua Bahuan Fernandes – Parque da Barra do Aririú;Barra do Aririú - Instalado em Abril 2024;PALHOÇA;PALHOÇA, Rua Bahuan Fernandes – Parque da Barra do Aririú;-27.6781829;-48.639819
113;PEV  114;PEV 114  PALHOÇA;Avenida Nova Aurora, 1470 - Praia do Sonho;Em frente ao BAR - Rua Capitão Buske - Dezembro 2024;PALHOÇA;PALHOÇA, Avenida Nova Aurora, 1470 - Praia do Sonho;-27.8385698;-48.58891029999999
114;PEV  115;PEV 115  PALHOÇA;Rua José Cosme Pamplona, 1461 - Bela Vista;Frente à Casa dos Salgados;PALHOÇA;PALHOÇA, Rua José Cosme Pamplona, 1461 - Bela Vista;-27.6549983;-48.6839458
115;PEV  116;PEV 116  PALHOÇA;Rua Germano Spricigo 859 - Caminho Novo ;Ao lado do já instalado - Instalado em Abril 2024;PALHOÇA;PALHOÇA, Rua Germano Spricigo 859 - Caminho Novo;-27.6454517;-48.68438949999999
116;PEV  117;PEV 117  PALHOÇA;Parque do Madri;Instalado em Abril 2024;PALHOÇA;PALHOÇA, Parque do Madri;-27.6432414;-48.7030457
117;PEV  118;PEV 118  PALHOÇA;Parque do Frei Damião;Loteamento Frei Damião  - Instalado em Abril 2024;PALHOÇA;PALHOÇA, Parque do Frei Damião;-27.6088264;-48.6675929
118;PEV  119;PEV 119  PALHOÇA;Avenida São Cristovão 2295 - Alto Aririu;;PALHOÇA;PALHOÇA, Avenida São Cristovão 2295 - Alto Aririu;-27.6780731;-48.6898507
119;PEV  120;PEV 120  SÃO JOSÉ;Av. Engeberto Koerich, 248 ;Unidade Básica de Saúde da Colônia Santana;SÃO JOSÉ;SÃO JOSÉ, Av. Engeberto Koerich, 248;-27.5859981;-48.7153014
120;PEV  121;PEV 121  SÃO JOSÉ;Rua Francisco Antônio da Silva, 745 - Sertão do Maruim;Unidade Básica de Saúde Sertão do Maruim - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Francisco Antônio da Silva, 745 - Sertão do Maruim;-27.5965342;-48.6838463
121;PEV  122;PEV 122  SÃO JOSÉ;Rua Subtenente Lairton Costa, 100 - Picadas do Sul;Entre o Ginásio Municipal de Esporte Cristiano Lino da Silva e a Unidade  Básica e Saúde Picados do Sul - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Subtenente Lairton Costa, 100 - Picadas do Sul;-27.6084202;-48.6482603
122;PEV  123;PEV 123  SÃO JOSÉ;Rua Rudolfo Jacob Schaeffer, 350 ;Praça Parque Residencial Floresta - Nossa Senhora do Rosário;SÃO JOSÉ;SÃO JOSÉ, Rua Rudolfo Jacob Schaeffer, 350;-27.5764299;-48.6177596
123;PEV  124;PEV 124  SÃO JOSÉ;Rua Antônio Jovita Duarte, 5013 ;Unidade Básica e Saúde – UBS FORQUILHAS;SÃO JOSÉ;SÃO JOSÉ, Rua Antônio Jovita Duarte, 5013;-27.5844281;-48.6683503
124;PEV  125;PEV 125  SÃO JOSÉ;Av. Ceniro Luiz Ribeiro Martins, 429;Unidade Básica e Saúde – UBS Ceniro Martins;SÃO JOSÉ;SÃO JOSÉ, Av. Ceniro Luiz Ribeiro Martins, 429;-27.5761187;-48.6587079
125;PEV  126;PEV 126  SÃO JOSÉ;Rua Ver. Arthur Manoel Mariano, 959 ;Esquina com Rua Manoel Sebastião de Souza, 2 Paróquia São Francisco de Assis;SÃO JOSÉ;SÃO JOSÉ, Rua Ver. Arthur Manoel Mariano, 959;-27.6005543;-48.6415021
126;PEV  127;PEV 127  SÃO JOSÉ;Rua João Grumiche, 2017 ; Unidade Básica de Saúde - Roçado;SÃO JOSÉ;SÃO JOSÉ, Rua João Grumiche, 2017;-27.588041;-48.620773
127;PEV  128;PEV 128  SÃO JOSÉ;Rua João Paulo dos Santos, 94;Esquina Rua da Independência, 917 - Ginásio Municipal de Esporte João Martins - Paróquia Santa Cruz;SÃO JOSÉ;SÃO JOSÉ, Rua João Paulo dos Santos, 94;-27.5559984;-48.6247266
128;PEV  129;PEV 129  SÃO JOSÉ;Avenida Brasil, 56;Esquina Rua Águas de Chapeco - Ponto de Taxi - Bela Vista;SÃO JOSÉ;SÃO JOSÉ, Avenida Brasil, 56;-27.5685292;-48.6146851
129;PEV  130;PEV 130  SÃO JOSÉ;Rua Fagundes Varela, 408;Conselho Comunitário de Areias - Areias;SÃO JOSÉ;SÃO JOSÉ, Rua Fagundes Varela, 408;-27.558006;-48.6316095
130;PEV  131;PEV 131  SÃO JOSÉ;Rua Nossa Senhora dos Navegantes, 278;Ginásio de Esporte Jardim Zanelato - Unidade Básica de Saúde - Zanelato - ;SÃO JOSÉ;SÃO JOSÉ, Rua Nossa Senhora dos Navegantes, 278;-27.54701;-48.6441774
131;PEV  132;PEV 132  SÃO JOSÉ;Rua Arnoldo Pedro Meira, 72 ;Supermercado Imperatriz - Bairro Ipiranga;SÃO JOSÉ;SÃO JOSÉ, Rua Arnoldo Pedro Meira, 72;-27.5621415;-48.6200385
132;PEV  133;PEV 133  SÃO JOSÉ;Rua Álvaro Medeiros Santiago, 648;Supermercado Giasse - Areias;SÃO JOSÉ;SÃO JOSÉ, Rua Álvaro Medeiros Santiago, 648;-27.552863;-48.6224117
133;PEV  134;PEV 134  SÃO JOSÉ;Rua Afrísio de Senna Vaz, 1109 ;Esquina com Rua Josué Orion Neto Capistrano, 414Praça Jardim Araucária - Serraria;SÃO JOSÉ;SÃO JOSÉ, Rua Afrísio de Senna Vaz, 1109;-27.5409095;-48.63783309999999
134;PEV  135;PEV 135  SÃO JOSÉ;Rua Assis Brasil, 5698 ;Restaurante Ponta de Baixo -  Ponta de Baixo;SÃO JOSÉ;SÃO JOSÉ, Rua Assis Brasil, 5698;-27.6372321;-48.6309777
135;PEV  136;PEV 136  SÃO JOSÉ;Rua Benjamim Gerlac, 1277 ;Igreja Santo Antônio - Fazenda do Max;SÃO JOSÉ;SÃO JOSÉ, Rua Benjamim Gerlac, 1277;-27.6184316;-48.6433717
136;PEV  137;PEV 137  SÃO JOSÉ;Rua Gaspar Neves, 1;Esquina com Rua Coletor Irineu Comeli, 151 Praça Prefeito Arnoldo Souza - Centro Histórico;SÃO JOSÉ;SÃO JOSÉ, Rua Gaspar Neves, 1;-27.61629;-48.6274952
137;PEV  138;PEV 138  SÃO JOSÉ;Av. Acione Souza filho, 363;Prefeitura Municipal de São José;SÃO JOSÉ;SÃO JOSÉ, Av. Acione Souza filho, 363;-27.5348179;-48.6327936
138;PEV  139;PEV 139  SÃO JOSÉ;Rua Pedro Bunn, 374;Esquina rua Padre Justino Cortegens - Praça da Paróquia dos Sagrados Corações - Jardim cidade de Florianópolis;SÃO JOSÉ;SÃO JOSÉ, Rua Pedro Bunn, 374;-27.5663652;-48.6167629
139;PEV  140;PEV 140  SÃO JOSÉ;Av. Acione Souza Filho, 1854 ;Beira Mar - ECOPONTO - Kobrasol;SÃO JOSÉ;SÃO JOSÉ, Av. Acione Souza Filho, 1854;-27.6024323;-48.6145929
140;PEV  141;PEV 141  SAO JOSE; Rua Eugênio Raulino Koerich, 520; Esquina com Rua Ademar da Silva, 571  - Praça dos Motoca;SAO JOSE;SAO JOSE, Rua Eugênio Raulino Koerich, 520;-27.5966419;-48.6134043
141;PEV  142;PEV 142  SÃO JOSÉ;Rua Vitor Meireles, 106 ; Praça RDF - Kobrasol;SÃO JOSÉ;SÃO JOSÉ, Rua Vitor Meireles, 106;-27.6000163;-48.6136929
142;PEV  143;PEV 143  SÃO JOSÉ;Rua Antônio Scherer, 764 ;Praça Eugênio Raulino - Kobrasol;SÃO JOSÉ;SÃO JOSÉ, Rua Antônio Scherer, 764;-27.5954873;-48.61446369999999
143;PEV  144;PEV 144  SÃO JOSÉ;Rua Brasilpinho, 168;Kobrasol;SÃO JOSÉ;SÃO JOSÉ, Rua Brasilpinho, 168;-27.5920573;-48.6142157
144;PEV  145;PEV 145  SÃO JOSÉ;Rua Irmãos Vieira, 239 ;Supermercados Giasse - Campinas;SÃO JOSÉ;SÃO JOSÉ, Rua Irmãos Vieira, 239;-27.5918378;-48.6118658
145;PEV  146;PEV 146  SÃO JOSÉ;Rua Gerôncio Thives, 815; Ao lado da HAVAN;SÃO JOSÉ;SÃO JOSÉ, Rua Gerôncio Thives, 815;-27.584082;-48.6127049
146;PEV  147;PEV 147  SÃO JOSÉ;Av. Acione Souza Filho, 1854 ;Beira Mar - ECOPONTO - Kobrasol * a partir de dezembro 2023;SÃO JOSÉ;SÃO JOSÉ, Av. Acione Souza Filho, 1854;-27.6024323;-48.6145929
